Navn,Storkreds,Parti,Kost,Score,"Folketinget skal vedtage, at det altid skal være muligt, som en valgmulighed, at få et plantebaseret måltid i de offentlige køkkener -  daginstitutioner","Folketinget skal vedtage, at det altid skal være muligt, som en valgmulighed, at få et plantebaseret måltid i de offentlige køkkener - Uddannelsesinstitutioner (skoler, universiteter, o.l.)","Folketinget skal vedtage, at det altid skal være muligt, som en valgmulighed, at få et plantebaseret måltid i de offentlige køkkener - Hospitaler og sygehuse","Folketinget skal vedtage, at det altid skal være muligt, som en valgmulighed, at få et plantebaseret måltid i de offentlige køkkener - Plejehjem, plejecentre og offentlig madudbringning til ældre","Folketinget skal vedtage, at det altid skal være muligt, som en valgmulighed, at få et plantebaseret måltid i de offentlige køkkener - Offentlige arbejdspladser","Folketinget skal vedtage, at det altid skal være muligt, som en valgmulighed, at få et plantebaseret måltid i de offentlige køkkener - ALLE offentlige køkkener (både de ovenfor nævnte og andre)",Alle offentlige køkkener skal pålægges at reducere deres CO2-udslip fra mad og måltider med 25% i 2025.,Alle offentlige køkkener skal pålægges at reducere deres CO2-udslip fra mad og måltider med 50% i 2030.,"En øremærket pulje til efteruddannelse af køkkenpersonale skal sikre, at alle madprofessionelle ved, hvordan de tilbereder klimavenlig, plantebaseret mad.",Lægeuddannelsen skal indeholde et obligatorisk fag om forebyggelse af sygdomme gennem mere plantebaseret kost.,"Der skal være en plantebaseret kokkeuddannelse i Danmark, så den grønne gastronomi kan blive udviklet.",Fødevarestyrelsen skal have flere midler til at styrke deres faglige ressourcer til at rådgive om plantebaseret ernæring.,"Det skal sikres, at myndighederne på altomkost.dk vejleder konstruktivt i plantebaseret kost, herunder også sikrer konstruktiv vejledning til veganske børnefamilier.",Momsen på frugt og grønt skal sænkes.,"Der skal være en klimaafgift på alle fødevarer, der afspejler deres drivhusgasudledning.",Der skal være en klimaafgift specifikt på alle animalske fødevarer,"Finansielle institutioner (banker, pensionskasser og investeringsrådgivere, långivere etc.) skal pålægges hvert år at afrapportere, hvordan deres porteføljer, produkter og långivning bidrager til grøn omstilling af landbruget, herunder især fra animalsk til plantebaseret produktion.","Fonden for Plantebaserede Fødevarer skal have mindst 200 mio. kr. ekstra årligt udover de eksisterende 85 mio. kr. årligt, så niveauet i højere grad svarer til omfanget af den nødvendige omstilling.","Forskningsmidler indenfor fødevarer skal omlægges til i højere grad at fokusere på klimavenlige, plantebaserede fødevarer frem for animalske.","Den danske animalske landbrugsproduktion står for en stor andel af den samlede danske drivhusgasudledning. Derfor skal antallet af landbrugsdyr (svin, kyllinger, køer, osv.) mindskes til halvdelen af det nuværende antal i 2030.","Landmænd, der vil omlægge deres produktion til flere plantebaserede afgrøder til mennesker, skal kunne modtage gratis efteruddannelse.","Støtteordninger til fødevareerhvervet skal omlægges til i højere grad at støtte klimavenlige, plantebaserede fødevarer frem for animalske.",Kost_color
Christina Thorholm (B),Nordsjællands Storkreds,B. Det Radikale Venstre,"Spiser vegetarisk mindst halvdelen af ugens dage, de øvrige dage kød, fjerkræ og/eller fisk",24,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,turquoise
Christine Lundgaard (Ø),Sjællands Storkreds,Ø. Enhedslisten,"Spiser kun vegetarisk, sjældent mælkeprodukter og æg",32,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"rgb(140,190,84)"
Christoffer Emil Jexen (Ø),Nordsjællands Storkreds,Ø. Enhedslisten,"Spiser vegetarisk mindst halvdelen af ugens dage, de øvrige dage kød, fjerkræ og/eller fisk",30,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,turquoise
Clara Turms (Ø),Københavns Storkreds,Ø. Enhedslisten,Ved ikke / har ikke taget stilling,6,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,grey
Clara Wolf (Å),Nordjyllands Storkreds,Å. Alternativet,"Spiser vegetarisk mindst halvdelen af ugens dage, de øvrige dage kød, fjerkræ og/eller fisk",29,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,turquoise
Claus Willén (I),Københavns Storkreds,I. Liberal Alliance,"Spiser ofte kød, kødpålæg, fjerkræ og/eller fisk (hver dag eller næsten hver dag)",2,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Enig - det vil jeg arbejde aktivt for,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,red
Daniel Nyboe Andersen (B),Nordjyllands Storkreds,B. Det Radikale Venstre,"Spiser vegetarisk mindst halvdelen af ugens dage, de øvrige dage kød, fjerkræ og/eller fisk",25,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,turquoise
Danny Rosenkilde (O),Østjyllands Storkreds,O. Dansk Folkeparti,"Spiser ofte kød, kødpålæg, fjerkræ og/eller fisk (hver dag eller næsten hver dag)",3,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Uenig - det vil jeg ikke støtte,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Uenig - det vil jeg ikke støtte,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Uenig - det vil jeg ikke støtte,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Uenig - det vil jeg ikke støtte,Ved ikke / har ikke taget stilling,Uenig - det vil jeg ikke støtte,red
David Rønne (Ø),Københavns Storkreds,Ø. Enhedslisten,"Spiser vegetarisk mindst halvdelen af ugens dage, de øvrige dage kød, fjerkræ og/eller fisk",33,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,turquoise
Didde Krabbe Johannesen (Å),Vestjyllands Storkreds,Å. Alternativet,Ved ikke / har ikke taget stilling,6,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,grey
Dina Raabjerg (C),Vestjyllands Storkreds,C. Det Konservative Folkeparti,Ønsker ikke at svare,8,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Uenig - det vil jeg ikke støtte,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Ved ikke / har ikke taget stilling,Uenig - det vil jeg ikke støtte,Ved ikke / har ikke taget stilling,Uenig - det vil jeg ikke støtte,grey
Ditte Madvig Evald (Å),Sydjyllands Storkreds,Å. Alternativet,"Spiser fisk, men derudover kun vegetarisk, aldrig kød, kødpålæg og fjerkræ",34,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,blue
Ditte Wedege (I),Østjyllands Storkreds,I. Liberal Alliance,Ved ikke / har ikke taget stilling,1,Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Uenig - det vil jeg ikke støtte,Uenig - det vil jeg ikke støtte,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,grey
Dorte Fløjgaard (Å),Vestjyllands Storkreds,Å. Alternativet,Spiser kun vegansk,34,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"rgb(16,114,60)"
Dorte M. Nielsen (F),Nordjyllands Storkreds,F. Socialistisk Folkeparti,"Spiser ofte kød, kødpålæg, fjerkræ og/eller fisk (hver dag eller næsten hver dag)",25,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Ved ikke / har ikke taget stilling,Ved ikke / har ikke taget stilling,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,red
Dorthe Hecht (Ø),Københavns Storkreds,Ø. Enhedslisten,Ønsker ikke at svare,30,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Uenig - det vil jeg ikke støtte,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,grey
Dorthe Schmittroth (C),Sydjyllands Storkreds,C. Det Konservative Folkeparti,"Spiser vegetarisk mindst halvdelen af ugens dage, de øvrige dage kød, fjerkræ og/eller fisk",19,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Uenig - det vil jeg ikke støtte,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Uenig - det vil jeg ikke støtte,Enig - det vil jeg arbejde aktivt for,Uenig - det vil jeg ikke støtte,turquoise
Edris Qasimi  (B),Sjællands Storkreds,B. Det Radikale Venstre,"Spiser vegetarisk mindst halvdelen af ugens dage, de øvrige dage kød, fjerkræ og/eller fisk",29,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,turquoise
Elise Bjerkrheim (Q),Københavns Storkreds,Q. Frie Grønne,"Spiser vegetarisk mindst halvdelen af ugens dage, de øvrige dage kød, fjerkræ og/eller fisk",34,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,turquoise
Emil Samaras  (Ø),Københavns Storkreds,Ø. Enhedslisten,"Spiser ofte kød, kødpålæg, fjerkræ og/eller fisk (hver dag eller næsten hver dag)",33,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,red
Emil Ulrik Andersen (Ø),Nordsjællands Storkreds,Ø. Enhedslisten,Spiser kun vegansk,30,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen","Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"rgb(16,114,60)"
Emilie Normann (B),Københavns Storkreds,B. Det Radikale Venstre,"Spiser vegetarisk mindst halvdelen af ugens dage, de øvrige dage kød, fjerkræ og/eller fisk",24,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Enig - det vil jeg arbejde aktivt for,Ved ikke / har ikke taget stilling,"Enig - det vil jeg støtte, men jeg vil ikke selv sætte det på dagsordenen",Ved ikke / har ikke taget stilling,Enig - det vil jeg arbejde aktivt for,Enig - det vil jeg arbejde aktivt for,turquoise
